Finanzposition;Bezeichnung;EIN/AUS;Teilabschnitt;RQ;FG;SN;AOB;Anfängliche Zahlungsrückstände EUR;Laufendes Soll EUR;Gesamt Soll EUR;Ist EUR;Schließliche Zahlungsrückstände EUR;Voranschlag EUR;Nachtrags-Voranschlag EUR;Gesamt-Voranschlag EUR;Unterschied zw. LFD.Soll - Gesamt-VA günsiger EUR;Unterschied zw. LFD.Soll - Gesamt-VA ungünsiger EUR
'1.03000.400990';GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS;AUSGABE;'03000';23;3;D;'MDIM';        121.20;       3382.76;       3503.96;       3503.96;          0.00;          0.00;          0.00;          0.00;          0.00;       3382.76
'1.03000.402550';MATERIALIEN F.INNERBETRIEBLICHE LEISTUNGEN;AUSGABE;'03000';23;1;D;'0805';          0.00;          0.00;          0.00;          0.00;          0.00;       1000.00;          0.00;       1000.00;       1000.00;          0.00
'1.03000.403100';HANDELSWAREN BEHINDERTENMASSNAHMEN;AUSGABE;'03000';23;9;D;'BD00';        345.60;          0.00;        345.60;        345.60;          0.00;       7000.00;          0.00;       7000.00;       7000.00;          0.00
'1.03000.423550';ROH- UND HILFSSTOFFE FÜR DAS BAUHAUPTGEWERBE;AUSGABE;'03000';23;1;D;'0805';          0.00;          0.00;          0.00;          0.00;          0.00;       1000.00;          0.00;       1000.00;       1000.00;          0.00
'1.03000.424550';ROH- UND HILFSSTOFFE FÜR DAS BAUNEBENGEWERBE;AUSGABE;'03000';23;1;D;'0805';          0.00;          0.00;          0.00;          0.00;          0.00;       1000.00;          0.00;       1000.00;       1000.00;          0.00
'1.03000.424890';ROH- UND HILFSSTOFFE FÜR DAS BAUNEBENGEWERBE;AUSGABE;'03000';23;1;D;'085W';          0.00;          0.00;          0.00;          0.00;          0.00;        100.00;          0.00;        100.00;        100.00;          0.00
'1.03000.428550';FERTIG BEZOGENE TEILE;AUSGABE;'03000';23;1;D;'0805';          0.00;          0.00;          0.00;          0.00;          0.00;       1000.00;          0.00;       1000.00;       1000.00;          0.00
'1.03000.428890';FERTIG BEZOGENE TEILE;AUSGABE;'03000';23;1;D;'085W';          0.00;         38.46;         38.46;         38.46;          0.00;        100.00;          0.00;        100.00;         61.54;          0.00
'1.03000.452000';TREIBSTOFFE;AUSGABE;'03000';23;1;D;'BD00';          0.00;         50.02;         50.02;         50.02;          0.00;          0.00;          0.00;          0.00;          0.00;         50.02
'1.03000.454000';REINIGUNGSMITTEL;AUSGABE;'03000';23;1;D;'0805';          0.00;         45.37;         45.37;         45.37;          0.00;          0.00;          0.00;          0.00;          0.00;         45.37
'1.03000.454100';REINIGUNGSMITTEL;AUSGABE;'03000';23;1;D;'BD00';          0.00;         21.29;         21.29;         21.29;          0.00;        200.00;          0.00;        200.00;        178.71;          0.00
'1.03000.456000';SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL;AUSGABE;'03000';23;1;D;'BD00';          0.00;       1414.09;       1414.09;       1414.09;          0.00;       1500.00;          0.00;       1500.00;         85.91;          0.00
'1.03000.456990';SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL;AUSGABE;'03000';23;1;D;'BD00';          0.00;       6148.41;       6148.41;       5946.76;        201.65;       3000.00;          0.00;       3000.00;          0.00;       3148.41
'1.03000.457000';DRUCKWERKE;AUSGABE;'03000';23;1;D;'BD00';          0.00;       1360.47;       1360.47;       1272.60;         87.87;        600.00;          0.00;        600.00;          0.00;        760.47
'1.03000.457009';DRUCKWERKE KOPIERSERVICE - MDPA;AUSGABE;'03000';23;1;D;'BD00';          0.00;        127.40;        127.40;        127.40;          0.00;          0.00;          0.00;          0.00;          0.00;        127.40
'1.03000.457100';DRUCKWERKE;AUSGABE;'03000';23;1;D;'BD00';          0.00;         13.20;         13.20;         13.20;          0.00;        400.00;          0.00;        400.00;        386.80;          0.00
'1.03000.458000';MITTEL ZUR ÄRZTL. BETREUUNG UND GESUNDHEITSVORSORG;AUSGABE;'03000';23;1;D;'BD00';          0.00;        171.88;        171.88;        171.88;          0.00;          0.00;          0.00;          0.00;          0.00;        171.88
'1.03000.459000';SONSTIGE VERBRAUCHSGÜTER;AUSGABE;'03000';23;1;D;'BD00';          0.00;        222.70;        222.70;        222.70;          0.00;        300.00;          0.00;        300.00;         77.30;          0.00
'1.03000.459550';SONSTIGE VERBRAUCHSGÜTER;AUSGABE;'03000';23;3;D;'0805';          0.00;         18.95;         18.95;         18.95;          0.00;          0.00;          0.00;          0.00;          0.00;         18.95
'1.03000.500000';GELDBEZÜGE DER BEAMTEN DER VERWALTUNG;AUSGABE;'03000';20;0;S;'BD00';          0.00;     256044.13;     256044.13;     256044.13;          0.00;     255600.00;          0.00;     255600.00;          0.00;        444.13
'1.03000.500010';GELDBEZÜGE DER BEAMTEN DER VERWALTUNG;AUSGABE;'03000';20;0;S;'BD00';          0.00;      26299.58;      26299.58;      26299.58;          0.00;      27300.00;          0.00;      27300.00;       1000.42;          0.00
'1.03000.510000';GELDBEZÜGE DER VERTRAGSBEDIENSTETEN DER VERWALTUNG;AUSGABE;'03000';20;0;S;'BD00';          0.00;     361205.46;     361205.46;     361205.46;          0.00;     314600.00;          0.00;     314600.00;          0.00;      46605.46
'1.03000.510010';GELDBEZÜGE DER VERTRAGSBEDIENSTETEN DER VERWALTUNG;AUSGABE;'03000';20;0;S;'BD00';          0.00;      12258.72;      12258.72;      12258.72;          0.00;       8700.00;          0.00;       8700.00;          0.00;       3558.72
'1.03000.522500';GELDBEZÜGE DER NICHT GANZJÄHRIG BESCHÄFTIGTEN ANGE;AUSGABE;'03000';20;0;D;'BD00';          0.00;        405.94;        405.94;        405.94;          0.00;          0.00;          0.00;          0.00;          0.00;        405.94
'1.03000.560000';REISEGEBÜHREN;AUSGABE;'03000';20;0;D;'BD00';          0.00;       2109.73;       2109.73;       2109.73;          0.00;       4000.00;          0.00;       4000.00;       1890.27;          0.00
'1.03000.563000';SONSTIGE AUFWANDSENTSCHÄDIGUNGEN;AUSGABE;'03000';20;0;S;'BD00';          0.00;       1030.80;       1030.80;       1030.80;          0.00;       1000.00;          0.00;       1000.00;          0.00;         30.80
'1.03000.563100';SONSTIGE AUFWANDSENTSCHÄDIGUNGEN;AUSGABE;'03000';20;0;D;'BD00';          0.00;        441.42;        441.42;        441.42;          0.00;          0.00;          0.00;          0.00;          0.00;        441.42
'1.03000.565000';MEHRLEISTUNGSVERGÜTUNGEN;AUSGABE;'03000';20;0;S;'BD00';          0.00;       5223.20;       5223.20;       5223.20;          0.00;       4600.00;          0.00;       4600.00;          0.00;        623.20
'1.03000.565300';MEHRLEISTUNGSVERGÜTUNGEN;AUSGABE;'03000';20;0;D;'BD00';          0.00;       4978.81;       4978.81;       4978.81;          0.00;          0.00;          0.00;          0.00;          0.00;       4978.81
'1.03000.567000';BELOHNUNGEN UND GELDAUSHILFEN;AUSGABE;'03000';20;0;S;'BD00';          0.00;         75.00;         75.00;         75.00;          0.00;          0.00;          0.00;          0.00;          0.00;         75.00
'1.03000.569000';SONSTIGE NEBENGEBÜHREN;AUSGABE;'03000';20;0;S;'BD00';          0.00;       2985.60;       2985.60;       2985.60;          0.00;       3700.00;          0.00;       3700.00;        714.40;          0.00
'1.03000.580000';DGB ZUM AUSGLEICHSFONDS FÜR FAMILIENBEIHILFEN;AUSGABE;'03000';20;0;S;'BD00';          0.00;      30161.40;      30161.40;      30161.40;          0.00;       9900.00;          0.00;       9900.00;          0.00;      20261.40
'1.03000.580900';DGB ZUM AUSGLEICHSFONDS FÜR FAMILIENBEIHILFEN;AUSGABE;'03000';20;0;D;'BD00';          0.00;         18.27;         18.27;         18.27;          0.00;          0.00;          0.00;          0.00;          0.00;         18.27
'1.03000.581000';SONSTIGE DGB ZUR SOZIALEN SICHERHEIT;AUSGABE;'03000';20;0;S;'BD00';          0.00;      88867.98;      88867.98;      88867.98;          0.00;      79900.00;          0.00;      79900.00;          0.00;       8967.98
'1.03000.581500';SONSTIGE DGB ZUR SOZIALEN SICHERHEIT;AUSGABE;'03000';20;0;S;'BD00';          0.00;      11469.25;      11469.25;      11469.25;          0.00;      11000.00;          0.00;      11000.00;          0.00;        469.25
'1.03000.581900';SONSTIGE DGB ZUR SOZIALEN SICHERHEIT;AUSGABE;'03000';20;0;D;'BD00';          0.00;         72.25;         72.25;         72.25;          0.00;          0.00;          0.00;          0.00;          0.00;         72.25
'1.03000.590000';FREIWILLIGE SOZIALLEISTUNGEN (NUR BARLEISTUNGEN);AUSGABE;'03000';20;0;S;'BD00';          0.00;        975.00;        975.00;        975.00;          0.00;       1000.00;          0.00;       1000.00;         25.00;          0.00
'1.03000.600000';STROM;AUSGABE;'03000';24;1;D;'0805';        645.24;       4184.69;       4829.93;       4443.59;        386.34;       3800.00;          0.00;       3800.00;          0.00;        384.69
'1.03000.614000';INSTANDH. VON GEBÄUDEN;AUSGABE;'03000';24;3;D;'0805';          7.74;       1346.73;       1354.47;       1354.47;          0.00;       4000.00;          0.00;       4000.00;       2653.27;          0.00
'1.03000.614009';INSTANDH. VON GEBÄUDEN A 8/5W;AUSGABE;'03000';24;3;D;'BD00';          0.00;        359.52;        359.52;        359.52;          0.00;          0.00;          0.00;          0.00;          0.00;        359.52
'1.03000.618000';INSTANDH. VON SONSTIGEN ANLAGEN;AUSGABE;'03000';24;3;D;'BD00';          0.00;        685.32;        685.32;        685.32;          0.00;          0.00;          0.00;          0.00;          0.00;        685.32
'1.03000.618009';INSTANDH. VON SONSTIGEN ANLAGEN;AUSGABE;'03000';24;3;D;'BD00';          0.00;        137.66;        137.66;        137.66;          0.00;          0.00;          0.00;          0.00;          0.00;        137.66
'1.03000.618030';INSTANDH. VON SONSTIGEN ANLAGEN;AUSGABE;'03000';24;3;D;'0805';          0.00;          0.00;          0.00;          0.00;          0.00;       1000.00;          0.00;       1000.00;       1000.00;          0.00
'1.03000.620000';PERSONEN- UND GÜTERTRANSPORTE;AUSGABE;'03000';24;8;D;'BD00';          0.00;       2257.10;       2257.10;       2257.10;          0.00;       1000.00;          0.00;       1000.00;          0.00;       1257.10
'1.03000.620600';PERSONEN- UND GÜTERTRANSPORTE WB;AUSGABE;'03000';24;9;D;'BD00';          0.00;          0.00;          0.00;          0.00;          0.00;       3800.00;          0.00;       3800.00;       3800.00;          0.00
'1.03000.630000';POSTDIENSTE;AUSGABE;'03000';24;1;D;'MDPA';          0.00;        651.58;        651.58;        651.58;          0.00;      13300.00;          0.00;      13300.00;      12648.42;          0.00
'1.03000.631000';TELEKOMMUNIKATIONSDIENSTE;AUSGABE;'03000';24;1;D;'BD00';          0.00;        354.73;        354.73;        354.73;          0.00;       1000.00;          0.00;       1000.00;        645.27;          0.00
'1.03000.631200';TELEKOMMUNIKATIONSDIENSTE;AUSGABE;'03000';24;1;D;'BD00';          0.00;       1611.49;       1611.49;       1578.90;         32.59;       2000.00;          0.00;       2000.00;        388.51;          0.00
'1.03000.631300';TELEKOMMUNIKATIONSDIENSTE;AUSGABE;'03000';24;1;D;'MDPA';         27.97;        353.16;        381.13;        354.37;         26.76;        400.00;          0.00;        400.00;         46.84;          0.00
'1.03000.650000';ZINSEN FÜR FINANZSCHULDEN - INLAND;AUSGABE;'03000';25;8;S;'SN21';          0.00;     187792.95;     187792.95;     187792.95;          0.00;     291300.00;          0.00;     291300.00;     103507.05;          0.00
'1.03000.670000';VERSICHERUNGEN;AUSGABE;'03000';24;8;D;'0805';          0.00;       2016.21;       2016.21;       2016.21;          0.00;        100.00;          0.00;        100.00;          0.00;       1916.21
'1.03000.700100';MIETZINSE;AUSGABE;'03000';24;9;D;'BD00';          0.00;        384.83;        384.83;        384.83;          0.00;       1400.00;          0.00;       1400.00;       1015.17;          0.00
'1.03000.700700';MIETZINSE KÜNDIGUNGSVERZICHT;AUSGABE;'03000';24;8;D;'0805';          0.00;      58170.74;      58170.74;      58170.74;          0.00;      70000.00;          0.00;      70000.00;      11829.26;          0.00
'1.03000.710100';ÖFFENTLICHE ABGABEN, OHNE GEBÜHREN GEMÄSS FAG.;AUSGABE;'03000';24;8;D;'BD00';          0.00;         13.20;         13.20;         13.20;          0.00;          0.00;          0.00;          0.00;          0.00;         13.20
'1.03000.723000';AMTSPAUSCHALIEN UND REPRÄSENTATIONSAUSGABEN;AUSGABE;'03000';24;9;D;'BD00';          0.00;        599.90;        599.90;        599.90;          0.00;          0.00;          0.00;          0.00;          0.00;        599.90
'1.03000.728200';ENTGELTE FÜR SONSTIGE LEISTUNGEN;AUSGABE;'03000';24;9;D;'BD00';      21420.00;      67650.59;      89070.59;      77952.93;      11117.66;      52000.00;          0.00;      52000.00;          0.00;      15650.59
'1.03000.728500';ENTGELTE FÜR SONSTIGE LEISTUNGEN GEBIETSBETREUUNG;AUSGABE;'03000';24;9;D;'BD00';          0.00;          0.00;          0.00;          0.00;          0.00;      50000.00;          0.00;      50000.00;      50000.00;          0.00
'1.03000.728510';ENTGELTE FÜR SONSTIGE LEISTUNGEN INFORMATIONSARBEIT;AUSGABE;'03000';24;9;D;'BD00';          0.00;          0.00;          0.00;          0.00;          0.00;       7000.00;          0.00;       7000.00;       7000.00;          0.00
'1.03000.728600';ENTGELTE FÜR SONSTIGE LEISTUNGEN BAUEN OHNE BARRIERE;AUSGABE;'03000';24;9;D;'BD00';       6525.76;       8127.46;      14653.22;      14653.22;          0.00;      14500.00;          0.00;      14500.00;       6372.54;          0.00
'1.03000.728800';ENTGELTE FÜR SONSTIGE LEISTUNGEN SCHULUNGEN;AUSGABE;'03000';24;9;D;'BD00';          0.00;        100.00;        100.00;        100.00;          0.00;        600.00;          0.00;        600.00;        500.00;          0.00
'1.03000.754000';LFD. TRANSFERZ. AN SONST.TRÄGER D.ÖFFENTL.RECHTS;AUSGABE;'03000';26;5;D;'BD00';       4187.50;          0.00;       4187.50;       4187.50;          0.00;          0.00;          0.00;          0.00;          0.00;          0.00
'1.03000.757100';LFD. TRANSFERZ. AN PRIV.ORGANISATIONEN O.ERWERBSZW;AUSGABE;'03000';27;5;D;'BD00';          0.00;       3292.00;       3292.00;       3292.00;          0.00;       4000.00;          0.00;       4000.00;        708.00;          0.00
'1.03100.042000';AMTSAUSSTATTUNG;AUSGABE;'03100';41;3;D;'1400';          0.00;          0.00;          0.00;          0.00;          0.00;        500.00;          0.00;        500.00;        500.00;          0.00
'1.03100.042100';AMTSAUSSTATTUNG;AUSGABE;'03100';41;3;D;'1400';       1561.20;          0.00;       1561.20;       1561.20;          0.00;        900.00;          0.00;        900.00;        900.00;          0.00
'1.03100.042600';AMTSAUSSTATTUNG WB;AUSGABE;'03100';41;3;D;'1400';          0.00;          0.00;          0.00;          0.00;          0.00;        500.00;          0.00;        500.00;        500.00;          0.00
'1.03100.070000';AKTIVIERUNGSFÄHIGE RECHTE;AUSGABE;'03100';42;3;D;'1400';          0.00;       7064.50;       7064.50;       7064.50;          0.00;        800.00;          0.00;        800.00;          0.00;       6264.50
'1.03100.346000';INVESTITIONSDARLEHEN VON KREDITINSTITUTEN;AUSGABE;'03100';65;8;S;'SN21';          0.00;     324928.24;     324928.24;     324928.24;          0.00;     322900.00;          0.00;     322900.00;          0.00;       2028.24
'1.03100.400000';GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS;AUSGABE;'03100';23;1;D;'1400';        998.05;        356.26;       1354.31;       1354.31;          0.00;        500.00;          0.00;        500.00;        143.74;          0.00
'1.03100.400030';GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS;AUSGABE;'03100';23;3;D;'0805';          0.00;         52.71;         52.71;         52.71;          0.00;       1000.00;          0.00;       1000.00;        947.29;          0.00
'1.03100.400100';GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS DIENSTKLEIDER;AUSGABE;'03100';23;1;D;'1400';        256.80;          0.00;        256.80;        256.80;          0.00;        100.00;          0.00;        100.00;        100.00;          0.00
'1.03100.400990';GERINGWERTIGE WIRTSCHAFTSGÜTER D.ANLAGEVERMÖGENS;AUSGABE;'03100';23;3;D;'MDIM';          0.00;       1149.52;       1149.52;       1149.52;          0.00;          0.00;          0.00;          0.00;          0.00;       1149.52
'1.03100.402550';MATERIALIEN F.INNERBETRIEBLICHE LEISTUNGEN;AUSGABE;'03100';23;1;D;'0805';          0.00;          0.00;          0.00;          0.00;          0.00;       1000.00;          0.00;       1000.00;       1000.00;          0.00
'1.03100.403000';HANDELSWAREN;AUSGABE;'03100';23;9;D;'1400';          0.00;          0.00;          0.00;          0.00;          0.00;       3800.00;          0.00;       3800.00;       3800.00;          0.00
'1.03100.423550';ROH- UND HILFSSTOFFE FÜR DAS BAUHAUPTGEWERBE;AUSGABE;'03100';23;1;D;'0805';          0.00;          0.00;          0.00;          0.00;          0.00;       1000.00;          0.00;       1000.00;       1000.00;          0.00
'1.03100.424550';ROH- UND HILFSSTOFFE FÜR DAS BAUNEBENGEWERBE;AUSGABE;'03100';23;1;D;'0805';          0.00;          0.00;          0.00;          0.00;          0.00;       1000.00;          0.00;       1000.00;       1000.00;          0.00
'1.03100.428550';FERTIG BEZOGENE TEILE;AUSGABE;'03100';23;1;D;'0805';          0.00;          0.00;          0.00;          0.00;          0.00;       1000.00;          0.00;       1000.00;       1000.00;          0.00
'1.03100.428890';FERTIG BEZOGENE TEILE;AUSGABE;'03100';23;1;D;'085W';          0.00;          0.00;          0.00;          0.00;          0.00;        100.00;          0.00;        100.00;        100.00;          0.00
'1.03100.454000';REINIGUNGSMITTEL;AUSGABE;'03100';23;1;D;'0805';          0.00;         29.44;         29.44;         29.44;          0.00;          0.00;          0.00;          0.00;          0.00;         29.44
'1.03100.456000';SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL;AUSGABE;'03100';23;1;D;'1400';          0.00;       1537.05;       1537.05;       1537.05;          0.00;       5600.00;          0.00;       5600.00;       4062.95;          0.00
'1.03100.456990';SCHREIB-,ZEICHEN- UND SONSTIGE BÜROMITTEL;AUSGABE;'03100';23;1;D;'1400';          0.00;       5994.88;       5994.88;       5994.88;          0.00;       5000.00;          0.00;       5000.00;          0.00;        994.88
'1.03100.457000';DRUCKWERKE;AUSGABE;'03100';23;1;D;'1400';          0.00;        450.91;        450.91;        450.91;          0.00;        500.00;          0.00;        500.00;         49.09;          0.00
'1.03100.457100';DRUCKWERKE;AUSGABE;'03100';23;1;D;'1400';          0.00;          0.00;          0.00;          0.00;          0.00;        100.00;          0.00;        100.00;        100.00;          0.00
'1.03100.457200';DRUCKWERKE;AUSGABE;'03100';23;1;D;'1400';          0.00;        245.60;        245.60;        245.60;          0.00;       4600.00;          0.00;       4600.00;       4354.40;          0.00
'1.03100.459000';SONSTIGE VERBRAUCHSGÜTER;AUSGABE;'03100';23;1;D;'1400';          0.00;         22.80;         22.80;          0.00;         22.80;          0.00;          0.00;          0.00;          0.00;         22.80
'1.03100.459550';SONSTIGE VERBRAUCHSGÜTER;AUSGABE;'03100';23;3;D;'0805';          0.00;         23.12;         23.12;         23.12;          0.00;          0.00;          0.00;          0.00;          0.00;         23.12
'1.03100.500000';GELDBEZÜGE DER BEAMTEN DER VERWALTUNG;AUSGABE;'03100';20;0;S;'1400';          0.00;     622781.54;     622781.54;     622781.54;          0.00;     618400.00;      59800.00;     678200.00;      55418.46;          0.00
'1.03100.500010';GELDBEZÜGE DER BEAMTEN DER VERWALTUNG;AUSGABE;'03100';20;0;S;'1400';          0.00;      18155.90;      18155.90;      18155.90;          0.00;      16900.00;          0.00;      16900.00;          0.00;       1255.90
'1.03100.510000';GELDBEZÜGE DER VERTRAGSBEDIENSTETEN DER VERWALTUNG;AUSGABE;'03100';20;0;S;'1400';          0.00;     334424.00;     334424.00;     334424.00;          0.00;     320400.00;          0.00;     320400.00;          0.00;      14024.00
'1.03100.510010';GELDBEZÜGE DER VERTRAGSBEDIENSTETEN DER VERWALTUNG;AUSGABE;'03100';20;0;S;'1400';          0.00;      11503.80;      11503.80;      11503.80;          0.00;      12100.00;          0.00;      12100.00;        596.20;          0.00
'1.03100.522100';GELDBEZÜGE DER NICHT GANZJÄHRIG BESCHÄFTIGTEN ANGE;AUSGABE;'03100';20;0;D;'1400';          0.00;          0.00;          0.00;          0.00;          0.00;       2800.00;          0.00;       2800.00;       2800.00;          0.00
'1.03100.560000';REISEGEBÜHREN;AUSGABE;'03100';20;0;D;'1400';          0.00;       2201.44;       2201.44;       2201.44;          0.00;       1900.00;          0.00;       1900.00;          0.00;        301.44
'1.03100.563000';SONSTIGE AUFWANDSENTSCHÄDIGUNGEN;AUSGABE;'03100';20;0;S;'1400';          0.00;       1718.00;       1718.00;       1718.00;          0.00;       4100.00;          0.00;       4100.00;       2382.00;          0.00
'1.03100.563100';SONSTIGE AUFWANDSENTSCHÄDIGUNGEN;AUSGABE;'03100';20;0;D;'1400';          0.00;        740.37;        740.37;        740.37;          0.00;        900.00;          0.00;        900.00;        159.63;          0.00
'1.03100.565000';MEHRLEISTUNGSVERGÜTUNGEN;AUSGABE;'03100';20;0;S;'1400';          0.00;        567.60;        567.60;        567.60;          0.00;        600.00;          0.00;        600.00;         32.40;          0.00
'1.03100.565300';MEHRLEISTUNGSVERGÜTUNGEN;AUSGABE;'03100';20;0;D;'1400';          0.00;       4216.30;       4216.30;       4216.30;          0.00;       5600.00;          0.00;       5600.00;       1383.70;          0.00
'1.03100.569000';SONSTIGE NEBENGEBÜHREN;AUSGABE;'03100';20;0;S;'1400';          0.00;       4123.20;       4123.20;       4123.20;          0.00;       5500.00;          0.00;       5500.00;       1376.80;          0.00
'1.03100.580000';DGB ZUM AUSGLEICHSFONDS FÜR FAMILIENBEIHILFEN;AUSGABE;'03100';20;0;S;'1400';          0.00;      44864.52;      44864.52;      44864.52;          0.00;      15700.00;          0.00;      15700.00;          0.00;      29164.52
'1.03100.581000';SONSTIGE DGB ZUR SOZIALEN SICHERHEIT;AUSGABE;'03100';20;0;S;'1400';          0.00;      89203.49;      89203.49;      89203.49;          0.00;      89700.00;          0.00;      89700.00;        496.51;          0.00
'1.03100.581500';SONSTIGE DGB ZUR SOZIALEN SICHERHEIT;AUSGABE;'03100';20;0;S;'1400';          0.00;      19842.38;      19842.38;      19842.38;          0.00;      18600.00;          0.00;      18600.00;          0.00;       1242.38
'1.03100.590000';FREIWILLIGE SOZIALLEISTUNGEN (NUR BARLEISTUNGEN);AUSGABE;'03100';20;0;S;'1400';          0.00;       1423.50;       1423.50;       1423.50;          0.00;       1500.00;          0.00;       1500.00;         76.50;          0.00
'1.03100.600000';STROM;AUSGABE;'03100';24;1;D;'0805';        787.35;       5106.37;       5893.72;       5422.28;        471.44;      50000.00;          0.00;      50000.00;      44893.63;          0.00
'1.03100.614000';INSTANDH. VON GEBÄUDEN;AUSGABE;'03100';24;3;D;'0805';          9.43;        177.02;        186.45;        186.45;          0.00;       4000.00;          0.00;       4000.00;       3822.98;          0.00
'1.03100.614009';INSTANDH. VON GEBÄUDEN A 8/5W;AUSGABE;'03100';24;3;D;'1400';          0.00;          0.00;          0.00;          0.00;          0.00;        900.00;          0.00;        900.00;        900.00;          0.00
'1.03100.614100';INSTANDH. VON GEBÄUDEN;AUSGABE;'03100';24;3;D;'1400';          0.00;          0.00;          0.00;          0.00;          0.00;        800.00;          0.00;        800.00;        800.00;          0.00
'1.03100.618000';INSTANDH. VON SONSTIGEN ANLAGEN;AUSGABE;'03100';24;3;D;'1400';          0.00;        250.44;        250.44;        250.44;          0.00;        900.00;          0.00;        900.00;        649.56;          0.00
'1.03100.618030';INSTANDH. VON SONSTIGEN ANLAGEN;AUSGABE;'03100';24;3;D;'0805';          0.00;          0.00;          0.00;          0.00;          0.00;       1000.00;          0.00;       1000.00;       1000.00;          0.00
'1.03100.618600';INSTANDH. VON SONSTIGEN ANLAGEN WB;AUSGABE;'03100';24;3;D;'1400';          0.00;          0.00;          0.00;          0.00;          0.00;        500.00;          0.00;        500.00;        500.00;          0.00
'1.03100.620000';PERSONEN- UND GÜTERTRANSPORTE;AUSGABE;'03100';24;8;D;'1400';          0.00;        400.70;        400.70;        400.70;          0.00;        500.00;          0.00;        500.00;         99.30;          0.00
'1.03100.620600';PERSONEN- UND GÜTERTRANSPORTE WB;AUSGABE;'03100';24;9;D;'1400';          0.00;        167.26;        167.26;        167.26;          0.00;        100.00;          0.00;        100.00;          0.00;         67.26
'1.03100.630000';POSTDIENSTE;AUSGABE;'03100';24;1;D;'MDPA';          0.00;       1218.24;       1218.24;       1218.24;          0.00;       6000.00;          0.00;       6000.00;       4781.76;          0.00
'1.03100.631000';TELEKOMMUNIKATIONSDIENSTE;AUSGABE;'03100';24;1;D;'1400';          0.00;        503.42;        503.42;        503.42;          0.00;       1900.00;          0.00;       1900.00;       1396.58;          0.00
'1.03100.631200';TELEKOMMUNIKATIONSDIENSTE;AUSGABE;'03100';24;1;D;'1400';          0.00;        449.65;        449.65;        439.08;         10.57;        600.00;          0.00;        600.00;        150.35;          0.00
'1.03100.631300';TELEKOMMUNIKATIONSDIENSTE;AUSGABE;'03100';24;1;D;'MDPA';         36.65;        348.44;        385.09;        356.41;         28.68;        500.00;          0.00;        500.00;        151.56;          0.00
'1.03100.642000';BERATUNGSKOSTEN;AUSGABE;'03100';24;9;D;'1400';        700.00;       4384.80;       5084.80;       5084.80;          0.00;        200.00;          0.00;        200.00;          0.00;       4184.80
'1.03100.650000';ZINSEN FÜR FINANZSCHULDEN - INLAND;AUSGABE;'03100';25;8;S;'SN21';          0.00;      86790.44;      86790.44;      86790.44;          0.00;     113800.00;          0.00;     113800.00;      27009.56;          0.00
'1.03100.670000';VERSICHERUNGEN;AUSGABE;'03100';24;8;D;'0805';          0.00;         46.97;         46.97;         46.97;          0.00;        100.00;          0.00;        100.00;         53.03;          0.00
'1.03100.700100';MIETZINSE KOPIERER;AUSGABE;'03100';24;8;D;'1400';          0.00;          0.00;          0.00;          0.00;          0.00;       1900.00;          0.00;       1900.00;       1900.00;          0.00
'1.03100.700700';MIETZINSE KÜNDIGUNGSVERZICHT;AUSGABE;'03100';24;8;D;'0805';          0.00;      78348.72;      78348.72;      78348.72;          0.00;      90000.00;          0.00;      90000.00;      11651.28;          0.00
'1.03100.723000';AMTSPAUSCHALIEN UND REPRÄSENTATIONSAUSGABEN;AUSGABE;'03100';24;9;D;'1400';          0.00;        766.26;        766.26;        592.86;        173.40;        600.00;          0.00;        600.00;          0.00;        166.26
'1.03100.728300';ENTGELTE FÜR SONSTIGE LEISTUNGEN;AUSGABE;'03100';24;9;D;'1400';      17786.00;      60249.93;      78035.93;      56970.93;      21065.00;      94000.00;          0.00;      94000.00;      33750.07;          0.00
'1.03100.728310';ENTGELTE FÜR SONSTIGE LEISTUNGEN SCHULUNGEN;AUSGABE;'03100';24;9;D;'1400';          0.00;       3445.00;       3445.00;       3445.00;          0.00;       1400.00;          0.00;       1400.00;          0.00;       2045.00
'1.03100.728600';ENTGELTE FÜR SONSTIGE LEISTUNGEN GUTACHTEN UND WETTBEWERBE;AUSGABE;'03100';24;9;D;'1400';          0.00;      15000.00;      15000.00;          0.00;      15000.00;      23600.00;          0.00;      23600.00;       8600.00;          0.00
'1.03100.728880';ENTGELTE FÜR SONSTIGE LEISTUNGEN FREIE DIENSTVERTRÄGE;AUSGABE;'03100';24;9;D;'1400';          0.00;       2970.00;       2970.00;       2970.00;          0.00;          0.00;          0.00;          0.00;          0.00;       2970.00
'1.03100.728990';ENTGELTE FÜR SONSTIGE LEISTUNGEN EDV;AUSGABE;'03100';24;8;D;'MDIM';          0.00;       7171.20;       7171.20;       7171.20;          0.00;          0.00;          0.00;          0.00;          0.00;       7171.20
